Date,Number of Contacts,Source,Year,Month
01/03/2018,90,Inbox email enquiries,2018,March
01/07/2015,7280,Cooks' Cottage,2015,July
01/02/2016,27655,Fitzroy Gardens Visitor Centre,2016,February
01/05/2015,51790,Melbourne Visitor Centre,2015,May
01/02/2015,10394,Cruise Ship Program,2015,February
01/04/2018,0,Cruise Ship Program,2018,April
01/04/2015,68416,Melbourne Visitor Centre,2015,April
01/01/2017,172,Inbox email enquiries,2017,January
01/06/2017,20790,Melbourne Visitor Booth,2017,June
01/03/2016,23970,Fitzroy Gardens Visitor Centre,2016,March
01/12/2016,81256,Melbourne Visitor Centre,2016,December
01/06/2015,0,Cruise Ship Program,2015,June
01/03/2017,293,Melbourne Greeter Service,2017,March
01/05/2015,26438,Melbourne Visitor Booth,2015,May
01/11/2016,70418,Melbourne Visitor Centre,2016,November
01/10/2018,18117,Melbourne Visitor Hub at Town Hall,2018,October
01/02/2017,22803,Fitzroy Gardens Visitor Centre,2017,February
01/07/2016,27021,Melbourne Visitor Booth,2016,July
01/10/2014,163,Inbox email Inquiries,2014,October
01/10/2016,231,Melbourne Greeter Service,2016,October
01/05/2018,3953,Cooks' Cottage,2018,May
01/10/2014,74912,Melbourne Visitor Centre,2014,October
01/11/2015,18074,Cruise Ship Program,2015,November
01/11/2014,32360,Melbourne Visitor Booth,2014,November
01/10/2016,3506,Melbourne Visitor Shuttle,2016,October
01/04/2018,17967,Melbourne Visitor Booth,2018,April
01/11/2017,0,Melbourne Visitor Shuttle,2017,November
01/05/2016,241,Melbourne Greeter Service,2016,May
01/08/2015,22635,City Ambassador Program,2015,August
01/09/2016,26748,Melbourne Visitor Booth,2016,September
01/07/2017,6201,Cooks' Cottage,2017,July
01/01/2017,8285,Cruise Ship Program,2017,January
01/07/2014,201,Melbourne Greeter Service,2014,July
01/08/2017,49443,Melbourne Visitor Centre,2017,August
01/06/2017,1887,Melbourne Visitor Shuttle,2017,June
01/11/2015,315,Melbourne Greeter Service,2015,November
01/08/2018,17622,City Ambassador Program,2018,August
01/01/2016,25546,Fitzroy Gardens Visitor Centre,2016,January
01/08/2018,164,Melbourne Greeter Service,2018,August
01/06/2016,18069,Fitzroy Gardens Visitor Centre,2016,June
01/08/2016,5270,Cooks' Cottage,2016,August
01/08/2016,0,Cruise Ship Program,2016,August
01/02/2018,6402,Cooks' Cottage,2018,February
01/03/2015,36613,City Ambassador Program,2015,March
01/10/2017,0,Melbourne Visitor Shuttle,2017,October
01/07/2018,21331,Fitzroy Gardens Visitor Centre,2018,July
01/01/2015,8794,Melbourne Visitor Shuttle,2015,January
01/01/2018,119,Melbourne Greeter Service,2018,January
01/07/2018,4598,Cooks' Cottage,2018,July
01/09/2016,22268,City Ambassador Program,2016,September
01/05/2017,98,Inbox email enquiries,2017,May
01/11/2014,133,Inbox email Inquiries,2014,November
01/10/2015,167,Inbox email Inquiries,2015,October
01/12/2014,8050,Melbourne Visitor Shuttle,2014,December
01/09/2015,5649,Cooks' Cottage,2015,September
01/07/2017,50134,Melbourne Visitor Centre,2017,July
01/02/2015,6573,Cooks' Cottage,2015,February
01/08/2014,0,Fitzroy Gardens Visitor Centre,2014,August
01/12/2014,93,Inbox email Inquiries,2014,December
01/10/2014,7632,Melbourne Visitor Shuttle,2014,October
01/02/2015,83230,Melbourne Visitor Centre,2015,February
01/06/2015,26436,Melbourne Visitor Booth,2015,June
01/11/2015,77002,Melbourne Visitor Centre,2015,November
01/09/2017,100,Inbox email enquiries,2017,September
01/07/2014,0,Fitzroy Gardens Visitor Centre,2014,July
01/11/2018,5464,Cooks' Cottage,2018,November
01/07/2015,205,Melbourne Greeter Service,2015,July
01/01/2016,176,Inbox email enquiries,2016,January
